Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
00:10:00,4.331376E+02,0.000000E+00,2.202455E-02,0.000000E+00,6.487528E+02,0.000000E+00,4.179013E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:20:00,4.330817E+02,0.000000E+00,2.202171E-02,0.000000E+00,6.476970E+02,0.000000E+00,4.172212E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:30:00,4.330827E+02,0.000000E+00,2.202176E-02,0.000000E+00,6.477144E+02,0.000000E+00,4.172324E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:40:00,4.330836E+02,0.000000E+00,2.202181E-02,0.000000E+00,6.477318E+02,0.000000E+00,4.172436E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:50:00,4.330846E+02,0.000000E+00,2.202186E-02,0.000000E+00,6.477491E+02,0.000000E+00,4.172548E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,4.330855E+02,0.000000E+00,2.202191E-02,0.000000E+00,6.477664E+02,0.000000E+00,4.172659E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:10:00,4.330865E+02,0.000000E+00,2.202195E-02,0.000000E+00,6.477837E+02,0.000000E+00,4.172771E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:20:00,4.330874E+02,0.000000E+00,2.202200E-02,0.000000E+00,6.478009E+02,0.000000E+00,4.172881E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,4.330883E+02,0.000000E+00,2.202205E-02,0.000000E+00,6.478181E+02,0.000000E+00,4.172992E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:40:00,4.330892E+02,0.000000E+00,2.202209E-02,0.000000E+00,6.478352E+02,0.000000E+00,4.173102E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:50:00,4.330902E+02,0.000000E+00,2.202214E-02,0.000000E+00,6.478523E+02,0.000000E+00,4.173213E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,4.330911E+02,0.000000E+00,2.202219E-02,0.000000E+00,6.478693E+02,0.000000E+00,4.173322E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:10:00,4.330920E+02,0.000000E+00,2.202224E-02,0.000000E+00,6.478864E+02,0.000000E+00,4.173432E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:20:00,4.330929E+02,0.000000E+00,2.202228E-02,0.000000E+00,6.479033E+02,0.000000E+00,4.173541E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,4.330939E+02,0.000000E+00,2.202233E-02,0.000000E+00,6.479203E+02,0.000000E+00,4.173651E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:40:00,4.330948E+02,0.000000E+00,2.202238E-02,0.000000E+00,6.479372E+02,0.000000E+00,4.173760E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:50:00,4.330957E+02,0.000000E+00,2.202242E-02,0.000000E+00,6.479541E+02,0.000000E+00,4.173868E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,4.330966E+02,0.000000E+00,2.202247E-02,0.000000E+00,6.479709E+02,0.000000E+00,4.173977E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:10:00,4.330975E+02,0.000000E+00,2.202251E-02,0.000000E+00,6.479877E+02,0.000000E+00,4.174085E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:20:00,4.330984E+02,0.000000E+00,2.202256E-02,0.000000E+00,6.480044E+02,0.000000E+00,4.174193E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,4.330993E+02,0.000000E+00,2.202261E-02,0.000000E+00,6.480211E+02,0.000000E+00,4.174300E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:40:00,4.331002E+02,0.000000E+00,2.202265E-02,0.000000E+00,6.480378E+02,0.000000E+00,4.174408E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:50:00,4.331011E+02,0.000000E+00,2.202270E-02,0.000000E+00,6.480544E+02,0.000000E+00,4.174515E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,4.331020E+02,0.000000E+00,2.202274E-02,0.000000E+00,6.480710E+02,0.000000E+00,4.174622E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:10:00,4.331029E+02,0.000000E+00,2.202279E-02,0.000000E+00,6.480876E+02,0.000000E+00,4.174728E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:20:00,4.331038E+02,0.000000E+00,2.202283E-02,0.000000E+00,6.481041E+02,0.000000E+00,4.174835E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:30:00,4.331046E+02,0.000000E+00,2.202288E-02,0.000000E+00,6.481206E+02,0.000000E+00,4.174941E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:40:00,4.331055E+02,0.000000E+00,2.202292E-02,0.000000E+00,6.481371E+02,0.000000E+00,4.175047E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:50:00,4.331064E+02,0.000000E+00,2.202297E-02,0.000000E+00,6.481535E+02,0.000000E+00,4.175153E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,4.331073E+02,0.000000E+00,2.202301E-02,0.000000E+00,6.481698E+02,0.000000E+00,4.175258E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:10:00,4.331082E+02,0.000000E+00,2.202306E-02,0.000000E+00,6.481862E+02,0.000000E+00,4.175363E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:20:00,4.331090E+02,0.000000E+00,2.202310E-02,0.000000E+00,6.482025E+02,0.000000E+00,4.175468E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,4.331099E+02,0.000000E+00,2.202315E-02,0.000000E+00,6.482187E+02,0.000000E+00,4.175573E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:40:00,4.331108E+02,0.000000E+00,2.202319E-02,0.000000E+00,6.482349E+02,0.000000E+00,4.175678E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:50:00,4.331116E+02,0.000000E+00,2.202323E-02,0.000000E+00,6.482511E+02,0.000000E+00,4.175782E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,4.331125E+02,0.000000E+00,2.202328E-02,0.000000E+00,6.482673E+02,0.000000E+00,4.175886E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:10:00,4.331134E+02,0.000000E+00,2.202332E-02,0.000000E+00,6.482834E+02,0.000000E+00,4.175990E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:20:00,4.331142E+02,0.000000E+00,2.202336E-02,0.000000E+00,6.482995E+02,0.000000E+00,4.176093E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,4.331151E+02,0.000000E+00,2.202341E-02,0.000000E+00,6.483155E+02,0.000000E+00,4.176197E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:40:00,4.331159E+02,0.000000E+00,2.202345E-02,0.000000E+00,6.483315E+02,0.000000E+00,4.176300E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:50:00,4.331168E+02,0.000000E+00,2.202350E-02,0.000000E+00,6.483475E+02,0.000000E+00,4.176402E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,4.331177E+02,0.000000E+00,2.202354E-02,0.000000E+00,6.483634E+02,0.000000E+00,4.176505E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:10:00,4.331185E+02,0.000000E+00,2.202358E-02,0.000000E+00,6.483793E+02,0.000000E+00,4.176607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:20:00,4.331193E+02,0.000000E+00,2.202362E-02,0.000000E+00,6.483952E+02,0.000000E+00,4.176710E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:30:00,4.331202E+02,0.000000E+00,2.202367E-02,0.000000E+00,6.484110E+02,0.000000E+00,4.176812E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:40:00,4.331210E+02,0.000000E+00,2.202371E-02,0.000000E+00,6.484268E+02,0.000000E+00,4.176913E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:50:00,4.331219E+02,0.000000E+00,2.202375E-02,0.000000E+00,6.484425E+02,0.000000E+00,4.177015E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,4.331227E+02,0.000000E+00,2.202380E-02,0.000000E+00,6.484582E+02,0.000000E+00,4.177116E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:10:00,4.331235E+02,0.000000E+00,2.202384E-02,0.000000E+00,6.484739E+02,0.000000E+00,4.177217E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:20:00,4.331244E+02,0.000000E+00,2.202388E-02,0.000000E+00,6.484895E+02,0.000000E+00,4.177318E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:30:00,4.331252E+02,0.000000E+00,2.202392E-02,0.000000E+00,6.485051E+02,0.000000E+00,4.177418E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:40:00,4.331260E+02,0.000000E+00,2.202396E-02,0.000000E+00,6.485207E+02,0.000000E+00,4.177518E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:50:00,4.331269E+02,0.000000E+00,2.202401E-02,0.000000E+00,6.485362E+02,0.000000E+00,4.177619E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,4.331277E+02,0.000000E+00,2.202405E-02,0.000000E+00,6.485517E+02,0.000000E+00,4.177718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:10:00,4.331285E+02,0.000000E+00,2.202409E-02,0.000000E+00,6.485672E+02,0.000000E+00,4.177818E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:20:00,4.331293E+02,0.000000E+00,2.202413E-02,0.000000E+00,6.485826E+02,0.000000E+00,4.177917E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:30:00,4.331301E+02,0.000000E+00,2.202417E-02,0.000000E+00,6.485980E+02,0.000000E+00,4.178016E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:40:00,4.331310E+02,0.000000E+00,2.202421E-02,0.000000E+00,6.486134E+02,0.000000E+00,4.178115E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:50:00,4.331318E+02,0.000000E+00,2.202426E-02,0.000000E+00,6.486287E+02,0.000000E+00,4.178214E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,4.331326E+02,0.000000E+00,2.202430E-02,0.000000E+00,6.486440E+02,0.000000E+00,4.178313E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:10:00,4.331334E+02,0.000000E+00,2.202434E-02,0.000000E+00,6.486592E+02,0.000000E+00,4.178411E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:20:00,4.331342E+02,0.000000E+00,2.202438E-02,0.000000E+00,6.486745E+02,0.000000E+00,4.178509E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:30:00,4.331350E+02,0.000000E+00,2.202442E-02,0.000000E+00,6.486896E+02,0.000000E+00,4.178607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:40:00,4.331358E+02,0.000000E+00,2.202446E-02,0.000000E+00,6.487048E+02,0.000000E+00,4.178704E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:50:00,4.331366E+02,0.000000E+00,2.202450E-02,0.000000E+00,6.487199E+02,0.000000E+00,4.178802E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:00:00,4.331374E+02,0.000000E+00,2.202454E-02,0.000000E+00,6.487350E+02,0.000000E+00,4.178899E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:10:00,4.331382E+02,0.000000E+00,2.202458E-02,0.000000E+00,6.487500E+02,0.000000E+00,4.178996E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:20:00,4.331390E+02,0.000000E+00,2.202462E-02,0.000000E+00,6.487650E+02,0.000000E+00,4.179092E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:30:00,4.331398E+02,0.000000E+00,2.202466E-02,0.000000E+00,6.487800E+02,0.000000E+00,4.179189E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:40:00,4.331406E+02,0.000000E+00,2.202470E-02,0.000000E+00,6.487950E+02,0.000000E+00,4.179285E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
